기준연도,기준월,면적/동(호),전국,서울,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
2023,04월,동(호),4344,341,2,4,5,15,5,16,5,12,4,6,13,41,8,8,11,11,10,3,21,11,6,14,18,21,65
2023,05월,면적,70317,12001,41,86,65,270,128,1185,109,262,99,147,207,320,688,162,203,202,251,60,398,154,97,241,412,319,6429
2023,05월,동(호),5246,960,3,6,6,16,7,70,7,18,7,10,16,19,40,12,16,13,17,4,28,11,7,18,35,25,581
2023,06월,면적,71937,6506,33,76,68,218,100,517,152,218,204,121,475,320,213,162,199,251,223,65,803,152,298,198,516,319,632
2023,06월,동(호),5393,448,3,5,6,15,8,39,9,15,12,8,27,19,13,12,16,17,15,5,59,12,18,16,43,25,32
2023,07월,면적,66698,7626,35,78,71,195,75,422,277,1708,119,127,306,306,217,700,184,176,195,65,330,167,103,332,400,327,319
2023,07월,동(호),4917,508,2,5,7,15,6,29,14,113,8,8,19,19,14,41,12,14,13,5,19,13,7,23,33,27,22
2023,08월,면적,68888,5830,37,69,99,214,78,436,102,230,210,135,350,377,700,207,184,176,166,70,300,171,402,199,410,340,357
2023,08월,동(호),5180,405,3,5,10,16,6,25,7,16,14,9,22,28,41,14,12,13,12,5,18,13,27,16,35,25,25
2023,09월,면적,63061,6938,49,74,178,207,812,1729,105,309,115,144,309,251,213,113,149,203,287,64,212,193,128,199,322,302,315
2023,09월,동(호),4742,472,4,6,16,16,74,74,7,19,9,9,19,15,13,8,11,14,13,5,17,15,9,16,25,25,20
2023,10월,면적,59428,6605,38,46,93,475,92,1719,105,251,115,157,251,235,217,88,146,117,203,57,194,350,169,1024,201,233,562
2023,10월,동(호),4335,440,3,3,8,27,7,108,7,15,8,7,16,14,14,7,12,9,14,4,13,24,11,94,17,20,39
2023,11월,면적,61142,6135,37,68,70,256,308,1719,157,235,141,169,235,177,102,111,139,203,203,75,139,350,519,346,201,156,453
2023,11월,동(호),4483,419,2,5,8,15,17,108,11,14,10,11,14,11,7,10,10,14,13,4,10,32,32,26,17,17,28
2023,12월,면적,53798,6005,25,45,44,101,62,372,157,199,88,102,177,177,998,113,113,146,379,39,113,149,304,234,242,513,513
2023,12월,동(호),3981,391,2,3,4,7,4,20,7,13,7,6,11,12,88,9,10,12,27,3,9,9,15,15,15,15,32
2024,01월,면적,65974,5995,27,58,75,179,81,984,83,169,107,184,201,90,276,238,170,180,142,51,265,327,157,717,247,667,320
2024,01월,동(호),4901,391,2,3,6,13,6,55,6,12,6,13,12,6,18,17,11,10,10,4,16,16,7,65,21,38,18
2024,02월,면적,57105,5024,25,55,58,784,75,279,80,160,47,108,212,118,129,162,165,181,132,74,146,185,95,241,253,251,1009
2024,02월,동(호),4243,363,2,4,6,49,6,15,5,12,3,7,13,8,9,11,12,12,10,4,10,13,7,18,23,18,86
2024,03월,면적,65162,4464,43,64,69,295,152,247,119,200,95,151,298,174,126,317,171,177,196,65,186,164,121,269,220,282,263
2024,03월,동(호),4848,315,3,4,7,18,14,16,8,14,7,10,18,12,9,22,14,12,13,4,13,12,8,17,18,23,18
